Invoice Number,Date Time,Customer ID,Product ID,Quantity,Price per Unit,Return Status,Sales Channel,Total Sales,Customer Age Group,Region,Product Category
11068,1/1/2021 5:44,39,15,3,20.58,Not Returned,In-Store,61.74,18-25,West,Foot wear
11069,1/1/2021 15:16,26,38,4,52.02,Not Returned,In-Store,208.08,36-45,East,Foot wear
11070,7/1/2021 14:49,5,38,1,94.57,Returned,Online,94.57,56+,West,Foot wear
11071,4/1/2021 18:11,46,41,2,81.09,Not Returned,Online,162.18,18-25,West,Accessories
1107,3/1/2021 2:35,20,22,6,41.53,Not Returned,Online,249.18,46-55,North,Clothing
11072,9/1/2021 7:59,15,26,7,39.82,Returned,Online,278.74,46-55,West,Foot wear
11073,6/1/2021 0:00,71,24,5,47.51,Not Returned,In-Store,237.55,18-25,North,Accessories
11074,4/1/2021 9:08,6,3,6,30.38,Not Returned,Online,182.28,26-35,South,Foot wear
11075,8/1/2021 9:49,77,43,4,24.18,Not Returned,Online,96.72,18-25,West,Clothing
11076,1/1/2021 5:26,48,42,4,50.6,Not Returned,In-Store,202.4,56+,West,Foot wear
11078,8/1/2021 4:14,91,38,3,96.03,Returned,Online,288.09,36-45,East,Foot wear
11079,2/1/2021 19:02,24,46,2,90.6,Not Returned,In-Store,181.2,18-25,South,Clothing
11080,10/1/2021 9:33,48,19,3,47.4,Not Returned,Online,142.2,56+,West,Foot wear
11081,3/1/2021 23:32,77,15,6,52.51,Not Returned,In-Store,315.06,18-25,West,Foot wear
11082,11/1/2021 8:54,72,34,1,34.25,Not Returned,Online,34.25,56+,South,Foot wear
1108,5/1/2021 19:39,25,32,1,89.68,Not Returned,In-Store,89.68,18-25,East,Clothing
11083,8/1/2021 22:16,88,29,5,36.06,Not Returned,Online,180.3,18-25,North,Foot wear
11084,6/1/2021 1:02,89,39,4,62.23,Not Returned,Online,248.92,46-55,North,Accessories
11085,6/1/2021 0:59,56,48,5,97.81,Not Returned,Online,489.05,18-25,East,Foot wear
11086,5/1/2021 10:33,76,27,2,29.24,Not Returned,In-Store,58.48,26-35,West,Foot wear
11087,9/1/2021 4:03,45,4,3,88.59,Not Returned,Online,265.77,26-35,North,Clothing
11088,7/1/2021 22:47,77,2,1,66.96,Not Returned,In-Store,66.96,18-25,West,Clothing
11089,8/1/2021 9:03,48,41,1,99.18,Not Returned,In-Store,99.18,56+,West,Accessories
11090,11/1/2021 5:33,61,23,5,55.15,Not Returned,In-Store,275.75,26-35,East,Clothing
11091,9/1/2021 23:03,24,27,7,35.41,Not Returned,In-Store,247.87,18-25,South,Foot wear
11092,10/1/2021 3:46,83,38,7,62.19,Not Returned,Online,435.33,56+,East,Foot wear
1109,11/1/2021 0:20,95,3,7,39.59,Not Returned,In-Store,277.13,18-25,North,Foot wear
11094,10/1/2021 20:09,48,33,6,97.66,Not Returned,In-Store,585.96,56+,West,Accessories
11095,5/1/2021 20:03,79,11,1,93.56,Not Returned,Online,93.56,46-55,South,Clothing
11096,6/1/2021 5:56,96,18,4,58.46,Not Returned,Online,233.84,36-45,North,Foot wear
11097,8/1/2021 19:28,12,22,1,97.72,Not Returned,Online,97.72,36-45,West,Clothing
11098,10/1/2021 8:04,20,18,2,91.96,Not Returned,In-Store,183.92,46-55,North,Foot wear
11099,3/1/2021 13:18,84,12,3,44.72,Not Returned,Online,134.16,56+,West,Clothing
11100,8/1/2021 14:46,68,45,7,52.5,Not Returned,In-Store,367.5,26-35,North,Foot wear
11101,2/1/2021 4:49,63,20,3,38.14,Not Returned,In-Store,114.42,56+,East,Clothing
11102,4/1/2021 12:08,68,45,2,82.84,Not Returned,Online,165.68,26-35,North,Foot wear
11103,10/1/2021 9:09,84,38,3,92.21,Returned,In-Store,276.63,56+,West,Foot wear
1110,9/1/2021 8:36,83,36,6,91.66,Not Returned,In-Store,549.96,56+,East,Clothing
11104,3/1/2021 1:11,49,24,7,53.07,Not Returned,Online,371.49,26-35,West,Accessories
11105,4/1/2021 13:05,26,24,6,73.49,Returned,In-Store,440.94,36-45,East,Accessories
11107,7/1/2021 21:17,77,2,2,22.98,Not Returned,Online,45.96,18-25,West,Clothing
11108,8/1/2021 20:21,23,44,6,70.62,Not Returned,Online,423.72,46-55,East,Accessories
11109,10/1/2021 20:54,42,39,7,96.33,Not Returned,Online,674.31,18-25,East,Accessories
11110,3/1/2021 11:07,53,28,6,36.16,Not Returned,In-Store,216.96,46-55,East,Foot wear
11111,2/1/2021 20:55,9,23,1,51.73,Not Returned,In-Store,51.73,36-45,East,Clothing
1111,6/1/2021 22:17,98,18,3,98.63,Not Returned,In-Store,295.89,26-35,East,Foot wear
11113,10/1/2021 23:45,90,14,7,72.69,Not Returned,Online,508.83,36-45,North,Clothing
11114,11/1/2021 5:43,10,45,6,92.42,Not Returned,Online,554.52,56+,East,Foot wear
11115,7/1/2021 5:03,49,18,7,48.36,Not Returned,Online,338.52,26-35,West,Foot wear
11116,6/1/2021 12:50,86,26,7,28.64,Returned,In-Store,200.48,18-25,East,Foot wear
11117,8/1/2021 21:55,30,6,6,34.08,Not Returned,In-Store,204.48,46-55,East,Accessories
11118,9/1/2021 2:58,40,5,1,57.11,Not Returned,In-Store,57.11,26-35,East,Clothing
11119,7/1/2021 6:01,31,6,7,52.6,Not Returned,Online,368.2,36-45,South,Accessories
11120,8/1/2021 5:53,23,8,1,63.14,Not Returned,Online,63.14,46-55,East,Accessories
1112,6/1/2021 10:10,74,13,2,54.74,Not Returned,Online,109.48,26-35,West,Foot wear
11121,2/1/2021 3:53,73,49,5,59.15,Not Returned,Online,295.75,56+,West,Foot wear
11122,7/1/2021 11:01,93,7,3,35.23,Not Returned,Online,105.69,36-45,North,Foot wear
11124,4/1/2021 9:14,2,46,3,88.16,Not Returned,In-Store,264.48,56+,East,Clothing
11125,7/1/2021 19:50,24,30,5,82.64,Not Returned,In-Store,413.2,18-25,South,Clothing
11126,1/1/2021 14:46,44,13,2,43.96,Not Returned,Online,87.92,26-35,East,Foot wear
11127,5/1/2021 16:32,47,32,2,82.16,Not Returned,Online,164.32,26-35,East,Clothing
11128,8/1/2021 23:47,99,8,5,41.17,Not Returned,Online,205.85,26-35,South,Accessories
11129,10/1/2021 12:40,48,11,5,22.12,Not Returned,In-Store,110.6,56+,West,Clothing
11130,2/1/2021 20:52,65,30,4,59.87,Not Returned,In-Store,239.48,26-35,West,Clothing
11131,9/1/2021 4:46,46,35,5,48.21,Not Returned,Online,241.05,18-25,West,Foot wear
11132,4/1/2021 0:56,49,11,3,65.48,Not Returned,Online,196.44,26-35,West,Clothing
1113,6/1/2021 17:46,15,34,5,72.09,Not Returned,Online,360.45,46-55,West,Foot wear
11133,8/1/2021 0:23,30,46,7,99.3,Returned,In-Store,695.1,46-55,East,Clothing
11134,3/1/2021 22:07,43,4,4,81.27,Returned,In-Store,325.08,46-55,West,Clothing
11135,1/1/2021 3:57,36,41,1,63.09,Not Returned,In-Store,63.09,56+,East,Accessories
11137,9/1/2021 15:25,72,34,2,54.29,Not Returned,Online,108.58,56+,South,Foot wear
11138,8/1/2021 4:25,48,31,3,46.04,Not Returned,Online,138.12,56+,West,Clothing
11139,10/1/2021 17:29,93,5,6,75.07,Not Returned,Online,450.42,36-45,North,Clothing
11140,2/1/2021 21:03,49,31,6,32.78,Not Returned,In-Store,196.68,26-35,West,Clothing
11141,1/1/2021 20:28,50,43,6,37.53,Not Returned,Online,225.18,46-55,South,Clothing
1114,4/1/2021 4:05,88,25,1,51.93,Not Returned,Online,51.93,18-25,North,Clothing
11143,11/1/2021 0:12,1,19,4,95.45,Not Returned,Online,381.8,46-55,West,Foot wear
11144,11/1/2021 2:24,89,3,1,72.45,Not Returned,In-Store,72.45,46-55,North,Foot wear
11146,9/1/2021 6:39,94,22,7,86.4,Not Returned,In-Store,604.8,36-45,West,Clothing
11148,9/1/2021 20:20,56,29,5,58.15,Not Returned,In-Store,290.75,18-25,East,Foot wear
11149,1/1/2021 4:49,52,18,6,85.2,Not Returned,Online,511.2,46-55,East,Foot wear
11151,9/1/2021 22:51,66,32,6,95.95,Not Returned,In-Store,575.7,46-55,South,Clothing
11152,8/1/2021 20:41,53,6,1,77.92,Not Returned,In-Store,77.92,46-55,East,Accessories
1115,6/1/2021 8:57,44,26,3,68.55,Not Returned,Online,205.65,26-35,East,Foot wear
11153,5/1/2021 21:07,60,10,1,47.16,Not Returned,Online,47.16,26-35,West,Foot wear
11154,8/1/2021 12:09,75,40,4,64.77,Not Returned,In-Store,259.08,56+,West,Accessories
11155,9/1/2021 13:26,21,46,2,71.18,Returned,Online,142.36,26-35,East,Clothing
11156,7/1/2021 18:45,66,8,4,24.24,Not Returned,Online,96.96,46-55,South,Accessories
11157,5/1/2021 19:43,28,48,4,70.6,Not Returned,Online,282.4,26-35,South,Foot wear
11158,2/1/2021 3:23,65,21,4,27.52,Not Returned,Online,110.08,26-35,West,Clothing
11159,2/1/2021 19:02,11,22,4,49.19,Not Returned,Online,196.76,46-55,South,Clothing
11162,3/1/2021 22:49,31,28,7,42.08,Not Returned,In-Store,294.56,36-45,South,Foot wear
11163,11/1/2021 8:43,10,11,1,37.78,Not Returned,Online,37.78,56+,East,Clothing
1116,11/1/2021 7:31,67,34,2,65.69,Not Returned,In-Store,131.38,26-35,South,Foot wear
11164,7/1/2021 14:26,83,6,1,90.4,Not Returned,In-Store,90.4,56+,East,Accessories
11165,3/1/2021 12:18,63,25,3,64.62,Not Returned,In-Store,193.86,56+,East,Clothing
11166,10/1/2021 4:24,11,38,3,88.95,Not Returned,Online,266.85,46-55,South,Foot wear
11168,4/1/2021 8:02,85,7,7,33.88,Not Returned,Online,237.16,18-25,North,Foot wear
11169,5/1/2021 22:44,88,18,3,58.52,Not Returned,In-Store,175.56,18-25,North,Foot wear
11170,3/1/2021 16:17,64,2,6,94.51,Not Returned,Online,567.06,26-35,South,Clothing
11171,7/1/2021 15:26,13,18,2,41.07,Not Returned,In-Store,82.14,56+,North,Foot wear
11172,5/1/2021 12:38,84,26,7,56.75,Not Returned,Online,397.25,56+,West,Foot wear
11173,7/1/2021 4:02,72,2,6,79.73,Not Returned,In-Store,478.38,56+,South,Clothing
11174,3/1/2021 5:10,99,25,5,44.6,Not Returned,In-Store,223,26-35,South,Clothing
11175,2/1/2021 17:27,34,49,3,33.87,Not Returned,Online,101.61,18-25,North,Foot wear
11178,7/1/2021 22:31,91,43,7,65.3,Not Returned,Online,457.1,36-45,East,Clothing
11179,4/1/2021 7:17,44,19,7,87.77,Not Returned,In-Store,614.39,26-35,East,Foot wear
11180,11/1/2021 4:18,5,45,5,94.02,Not Returned,In-Store,470.1,56+,West,Foot wear
11182,4/1/2021 20:03,13,42,7,78.79,Not Returned,Online,551.53,56+,North,Foot wear
1118,1/1/2021 13:44,48,29,7,22.74,Not Returned,Online,159.18,56+,West,Foot wear
11184,4/1/2021 9:36,60,19,4,79.55,Not Returned,Online,318.2,26-35,West,Foot wear
11185,4/1/2021 2:30,7,50,7,99.16,Not Returned,In-Store,694.12,NA,North,Accessories
11186,6/1/2021 0:22,83,46,2,82.52,Not Returned,In-Store,165.04,56+,East,Clothing
11187,11/1/2021 4:49,84,6,5,37.16,Not Returned,In-Store,185.8,56+,West,Accessories
11189,9/1/2021 1:25,92,7,4,87.72,Not Returned,Online,350.88,18-25,South,Foot wear
11190,11/1/2021 7:56,34,31,3,95.52,Not Returned,In-Store,286.56,18-25,North,Clothing
11191,6/1/2021 22:32,60,21,6,97.09,Not Returned,Online,582.54,26-35,West,Clothing
1119,10/1/2021 13:20,98,13,1,33.74,Not Returned,Online,33.74,26-35,East,Foot wear
11192,8/1/2021 8:07,22,10,3,94.72,Not Returned,In-Store,284.16,56+,North,Foot wear
11193,2/1/2021 7:43,20,28,1,52.19,Not Returned,In-Store,52.19,46-55,North,Foot wear
11194,5/1/2021 8:55,85,26,4,77.86,Not Returned,Online,311.44,18-25,North,Foot wear
11196,11/1/2021 0:44,49,11,4,20.82,Not Returned,Online,83.28,26-35,West,Clothing
11197,2/1/2021 19:04,95,36,1,27.38,Not Returned,Online,27.38,18-25,North,Clothing
11198,4/1/2021 17:58,15,48,3,58.73,Not Returned,Online,176.19,46-55,West,Foot wear
11199,4/1/2021 2:17,7,36,6,20.82,Returned,In-Store,124.92,NA,North,Clothing
11200,3/1/2021 18:41,71,34,4,78.07,Not Returned,Online,312.28,18-25,North,Foot wear
11201,1/1/2021 8:05,71,4,1,88.03,Not Returned,In-Store,88.03,18-25,North,Clothing
1120,4/1/2021 11:36,49,14,5,20.39,Not Returned,Online,101.95,26-35,West,Clothing
11202,1/1/2021 5:30,14,29,7,91.54,Not Returned,Online,640.78,26-35,East,Foot wear
11203,4/1/2021 1:50,99,5,5,76.17,Not Returned,In-Store,380.85,26-35,South,Clothing
11204,4/1/2021 9:48,43,10,6,58.56,Not Returned,Online,351.36,46-55,West,Foot wear
11205,8/1/2021 17:48,68,14,6,94.19,Not Returned,Online,565.14,26-35,North,Clothing
11206,2/1/2021 8:02,73,20,4,86.75,Not Returned,Online,347,56+,West,Clothing
11207,3/1/2021 2:40,35,21,2,43.11,Not Returned,Online,86.22,36-45,East,Clothing
11208,2/1/2021 11:19,6,44,7,57.48,Not Returned,Online,402.36,26-35,South,Accessories
11210,1/1/2021 10:56,45,15,6,34.92,Not Returned,Online,209.52,26-35,North,Foot wear
1121,6/1/2021 11:52,27,1,1,50.75,Not Returned,Online,50.75,36-45,North,Accessories
11211,6/1/2021 8:14,35,1,1,25.73,Not Returned,In-Store,25.73,36-45,East,Accessories
11212,3/1/2021 19:21,45,16,2,92.48,Not Returned,Online,184.96,26-35,North,Foot wear
11213,6/1/2021 22:53,66,1,2,61.69,Returned,In-Store,123.38,46-55,South,Accessories
11214,11/1/2021 5:55,9,36,3,86.83,Not Returned,Online,260.49,36-45,East,Clothing
11215,9/1/2021 20:12,8,23,4,30.68,Not Returned,Online,122.72,NA,West,Clothing
11216,8/1/2021 7:54,40,4,2,48.56,Not Returned,Online,97.12,26-35,East,Clothing
11217,2/1/2021 21:55,40,12,5,69.67,Not Returned,Online,348.35,26-35,East,Clothing
11218,5/1/2021 21:44,45,46,2,24.78,Not Returned,In-Store,49.56,26-35,North,Clothing
11219,5/1/2021 15:48,30,48,1,22.73,Not Returned,Online,22.73,46-55,East,Foot wear
11220,10/1/2021 1:46,19,16,5,81.2,Not Returned,In-Store,406,18-25,East,Foot wear
11221,9/1/2021 4:59,37,25,6,34.04,Not Returned,In-Store,204.24,36-45,South,Clothing
1122,9/1/2021 2:07,41,24,1,71.18,Returned,Online,71.18,46-55,East,Accessories
11223,4/1/2021 20:38,90,13,4,57.07,Not Returned,In-Store,228.28,36-45,North,Foot wear
11224,8/1/2021 12:55,25,5,6,98.46,Not Returned,Online,590.76,18-25,East,Clothing
11226,6/1/2021 7:16,44,16,3,58.18,Not Returned,Online,174.54,26-35,East,Foot wear
11227,2/1/2021 4:40,3,48,4,51.91,Not Returned,Online,207.64,36-45,North,Foot wear
11228,2/1/2021 0:24,86,40,3,51.18,Not Returned,Online,153.54,18-25,East,Accessories
11229,7/1/2021 18:29,51,13,6,94.59,Not Returned,Online,567.54,46-55,East,Foot wear
11230,4/1/2021 15:40,41,46,1,37.73,Not Returned,In-Store,37.73,46-55,East,Clothing
11231,1/1/2021 21:41,22,49,2,93.36,Not Returned,Online,186.72,56+,North,Foot wear
11232,6/1/2021 21:52,92,48,6,23.35,Not Returned,Online,140.1,18-25,South,Foot wear
1123,1/1/2021 20:47,64,38,2,43.63,Not Returned,Online,87.26,26-35,South,Foot wear
11234,3/1/2021 15:35,17,29,1,86.39,Not Returned,In-Store,86.39,46-55,South,Foot wear
11235,4/1/2021 14:54,70,22,6,96.97,Not Returned,Online,581.82,46-55,North,Clothing
11236,6/1/2021 13:43,36,13,5,87.06,Not Returned,Online,435.3,56+,East,Foot wear
11237,8/1/2021 6:11,89,40,4,24.15,Not Returned,In-Store,96.6,46-55,North,Accessories
11239,5/1/2021 6:15,4,2,2,27.49,Not Returned,Online,54.98,56+,West,Clothing
11240,4/1/2021 2:56,16,22,4,76.79,Not Returned,Online,307.16,26-35,West,Clothing
11241,4/1/2021 14:06,46,8,3,27.7,Not Returned,Online,83.1,18-25,West,Accessories
11242,6/1/2021 2:39,47,30,2,35.21,Not Returned,Online,70.42,26-35,East,Clothing
11243,1/1/2021 13:59,94,13,6,62.61,Not Returned,Online,375.66,36-45,West,Foot wear
1124,5/1/2021 23:42,73,41,4,58.69,Not Returned,Online,234.76,56+,West,Accessories
11244,8/1/2021 4:59,15,26,3,59.53,Not Returned,Online,178.59,46-55,West,Foot wear
11245,4/1/2021 6:15,52,1,3,56.39,Returned,In-Store,169.17,46-55,East,Accessories
11246,3/1/2021 12:43,64,17,3,20.75,Not Returned,In-Store,62.25,26-35,South,Accessories
11247,8/1/2021 7:25,22,2,1,51.8,Not Returned,Online,51.8,56+,North,Clothing
11249,6/1/2021 1:40,70,35,3,24.16,Not Returned,In-Store,72.48,46-55,North,Foot wear
11250,9/1/2021 17:57,88,29,2,29.55,Not Returned,Online,59.1,18-25,North,Foot wear
11251,7/1/2021 14:34,6,19,7,72.15,Not Returned,In-Store,505.05,26-35,South,Foot wear
11252,3/1/2021 16:08,71,42,4,41.15,Not Returned,In-Store,164.6,18-25,North,Foot wear
11253,9/1/2021 13:15,43,39,1,40.38,Not Returned,Online,40.38,46-55,West,Accessories
11254,9/1/2021 13:46,86,29,2,83.27,Not Returned,In-Store,166.54,18-25,East,Foot wear
11255,9/1/2021 14:56,42,7,5,85.65,Not Returned,Online,428.25,18-25,East,Foot wear
11256,10/1/2021 16:31,2,39,4,49.2,Not Returned,Online,196.8,56+,East,Accessories
11257,10/1/2021 10:47,55,13,1,35.48,Not Returned,Online,35.48,36-45,East,Foot wear
11259,8/1/2021 17:21,53,6,3,34.78,Not Returned,In-Store,104.34,46-55,East,Accessories
11260,5/1/2021 23:35,92,26,4,75.63,Not Returned,Online,302.52,18-25,South,Foot wear
11261,7/1/2021 20:09,99,40,1,94.92,Not Returned,Online,94.92,26-35,South,Accessories
11262,8/1/2021 19:35,42,7,2,96.4,Not Returned,Online,192.8,18-25,East,Foot wear
11263,11/1/2021 2:15,69,5,2,20.14,Not Returned,Online,40.28,46-55,South,Clothing
11264,8/1/2021 16:38,95,11,7,53.82,Not Returned,Online,376.74,18-25,North,Clothing
11265,7/1/2021 20:51,63,39,7,65.38,Not Returned,Online,457.66,56+,East,Accessories
11266,4/1/2021 3:57,13,28,3,40.8,Not Returned,In-Store,122.4,56+,North,Foot wear
11268,2/1/2021 4:37,60,41,1,57.97,Not Returned,In-Store,57.97,26-35,West,Accessories
11269,7/1/2021 8:34,63,30,3,59.41,Not Returned,Online,178.23,56+,East,Clothing
11270,7/1/2021 17:33,32,28,6,61.52,Not Returned,In-Store,369.12,46-55,East,Foot wear
1127,4/1/2021 4:54,98,15,4,85.71,Not Returned,Online,342.84,26-35,East,Foot wear
11272,9/1/2021 13:56,70,43,2,91.49,Not Returned,Online,182.98,46-55,North,Clothing
11273,7/1/2021 7:34,11,25,1,45.48,Not Returned,Online,45.48,46-55,South,Clothing
11274,11/1/2021 4:03,84,1,5,34.7,Not Returned,Online,173.5,56+,West,Accessories
11275,3/1/2021 1:55,80,22,5,24.51,Not Returned,In-Store,122.55,46-55,East,Clothing
11276,7/1/2021 15:19,19,5,6,57.25,Returned,Online,343.5,18-25,East,Clothing
11277,6/1/2021 9:37,83,20,5,90.64,Not Returned,Online,453.2,56+,East,Clothing
11278,10/1/2021 7:43,38,12,7,51.04,Not Returned,In-Store,357.28,56+,South,Clothing
11279,9/1/2021 3:31,26,35,1,98.56,Not Returned,Online,98.56,36-45,East,Foot wear
11280,1/1/2021 13:18,95,34,1,68.02,Not Returned,In-Store,68.02,18-25,North,Foot wear
11281,6/1/2021 3:36,42,5,3,82.44,Not Returned,In-Store,247.32,18-25,East,Clothing
11282,7/1/2021 16:12,55,37,2,83.16,Not Returned,Online,166.32,36-45,East,Foot wear
11283,11/1/2021 6:53,51,24,7,89.62,Not Returned,Online,627.34,46-55,East,Accessories
1128,11/1/2021 2:21,59,33,7,72.09,Not Returned,Online,504.63,46-55,North,Accessories
11284,1/1/2021 11:16,2,22,4,98.73,Not Returned,Online,394.92,56+,East,Clothing
11285,8/1/2021 20:31,36,50,2,72.59,Not Returned,Online,145.18,56+,East,Accessories
11286,11/1/2021 3:36,22,5,5,60.25,Not Returned,Online,301.25,56+,North,Clothing
11287,8/1/2021 5:46,74,12,4,51.73,Not Returned,In-Store,206.92,26-35,West,Clothing
11288,4/1/2021 10:32,65,25,7,45.98,Not Returned,Online,321.86,26-35,West,Clothing
11289,7/1/2021 23:06,92,32,4,40.26,Not Returned,Online,161.04,18-25,South,Clothing
11290,10/1/2021 8:50,17,3,3,70.42,Not Returned,In-Store,211.26,46-55,South,Foot wear
11291,4/1/2021 21:35,98,2,2,80.21,Not Returned,Online,160.42,26-35,East,Clothing
11292,10/1/2021 21:28,86,39,4,68.07,Not Returned,Online,272.28,18-25,East,Accessories
11293,5/1/2021 19:46,22,8,6,85.55,Not Returned,Online,513.3,56+,North,Accessories
1129,6/1/2021 10:31,44,45,7,57.05,Not Returned,Online,399.35,26-35,East,Foot wear
11294,3/1/2021 16:44,17,7,2,70.9,Not Returned,In-Store,141.8,46-55,South,Foot wear
11295,2/1/2021 11:02,55,50,1,92.1,Not Returned,Online,92.1,36-45,East,Accessories
11296,9/1/2021 16:01,87,2,6,38.26,Not Returned,In-Store,229.56,18-25,South,Clothing
11297,8/1/2021 21:02,22,14,2,30.22,Not Returned,In-Store,60.44,56+,North,Clothing
11298,9/1/2021 21:15,63,36,7,52.59,Not Returned,Online,368.13,56+,East,Clothing
11299,11/1/2021 4:59,11,30,5,24.73,Not Returned,Online,123.65,46-55,South,Clothing
11300,3/1/2021 13:59,34,17,5,98.36,Not Returned,Online,491.8,18-25,North,Accessories
11301,11/1/2021 9:35,90,44,2,98.81,Not Returned,Online,197.62,36-45,North,Accessories
11302,1/1/2021 20:43,20,47,4,36.24,Not Returned,Online,144.96,46-55,North,Foot wear
11303,10/1/2021 0:13,100,29,4,26.47,Not Returned,Online,105.88,18-25,West,Foot wear
1130,6/1/2021 0:08,30,35,5,24.28,Not Returned,Online,121.4,46-55,East,Foot wear
11304,10/1/2021 12:09,84,24,3,67.17,Not Returned,Online,201.51,56+,West,Accessories
11305,2/1/2021 21:47,19,35,1,83.92,Not Returned,In-Store,83.92,18-25,East,Foot wear
11306,6/1/2021 12:35,52,13,1,96.07,Not Returned,In-Store,96.07,46-55,East,Foot wear
11307,10/1/2021 10:11,77,33,1,99.33,Not Returned,In-Store,99.33,18-25,West,Accessories
11308,10/1/2021 18:49,7,23,3,65.84,Not Returned,In-Store,197.52,NA,North,Clothing
11309,2/1/2021 16:53,60,23,2,80.86,Not Returned,Online,161.72,26-35,West,Clothing
11310,11/1/2021 7:53,67,9,4,95.09,Not Returned,Online,380.36,26-35,South,Foot wear
11311,7/1/2021 7:38,90,15,5,73.27,Not Returned,Online,366.35,36-45,North,Foot wear
11312,10/1/2021 22:41,81,10,2,22.03,Not Returned,Online,44.06,56+,West,Foot wear
11313,10/1/2021 9:18,76,14,4,83.61,Not Returned,In-Store,334.44,26-35,West,Clothing
11315,9/1/2021 19:58,59,11,6,67.58,Not Returned,In-Store,405.48,46-55,North,Clothing
11316,1/1/2021 11:29,39,48,5,24.54,Not Returned,In-Store,122.7,18-25,West,Foot wear
1131,1/1/2021 0:01,99,7,7,71.6,Not Returned,In-Store,501.2,26-35,South,Foot wear
11317,8/1/2021 13:20,59,45,2,96.53,Not Returned,In-Store,193.06,46-55,North,Foot wear
11318,6/1/2021 5:05,97,6,6,23.95,Not Returned,Online,143.7,56+,East,Accessories
11319,6/1/2021 18:42,99,25,7,93.58,Not Returned,Online,655.06,26-35,South,Clothing
11321,1/1/2021 15:10,82,29,1,88.6,Not Returned,In-Store,88.6,18-25,South,Foot wear
11322,3/1/2021 1:16,43,9,6,83.42,Not Returned,In-Store,500.52,46-55,West,Foot wear
11323,7/1/2021 9:21,33,19,2,42.75,Not Returned,Online,85.5,46-55,East,Foot wear
11324,5/1/2021 22:36,9,47,7,90.97,Not Returned,In-Store,636.79,36-45,East,Foot wear
11325,6/1/2021 12:16,2,47,2,91.78,Not Returned,Online,183.56,56+,East,Foot wear
11327,8/1/2021 16:12,53,36,6,94.54,Not Returned,Online,567.24,46-55,East,Clothing
1132,5/1/2021 1:36,53,8,3,90.33,Not Returned,Online,270.99,46-55,East,Accessories
11328,8/1/2021 21:05,83,22,3,54.9,Not Returned,In-Store,164.7,56+,East,Clothing
11329,11/1/2021 0:34,15,32,2,25.05,Not Returned,Online,50.1,46-55,West,Clothing
11330,6/1/2021 0:57,3,3,6,88.14,Not Returned,In-Store,528.84,36-45,North,Foot wear
11331,2/1/2021 6:58,8,21,6,91.06,Returned,Online,546.36,NA,West,Clothing
11332,3/1/2021 10:04,81,11,1,66.38,Not Returned,Online,66.38,56+,West,Clothing
1133,7/1/2021 17:37,94,31,1,87.2,Not Returned,In-Store,87.2,36-45,West,Clothing
11333,2/1/2021 14:15,5,8,5,61.68,Not Returned,Online,308.4,56+,West,Accessories
11334,4/1/2021 15:42,61,4,5,51.93,Not Returned,Online,259.65,26-35,East,Clothing
11335,1/1/2021 1:31,22,5,4,57.39,Returned,In-Store,229.56,56+,North,Clothing
11336,8/1/2021 21:43,23,32,2,48.46,Not Returned,Online,96.92,46-55,East,Clothing
11337,5/1/2021 3:51,6,42,2,24.76,Not Returned,In-Store,49.52,26-35,South,Foot wear
11338,4/1/2021 11:41,85,24,4,22.34,Not Returned,In-Store,89.36,18-25,North,Accessories
11339,6/1/2021 18:46,86,28,7,65.97,Not Returned,Online,461.79,18-25,East,Foot wear
1134,1/1/2021 8:35,65,1,4,68.57,Not Returned,In-Store,274.28,26-35,West,Accessories
11341,9/1/2021 2:10,7,49,3,34.36,Not Returned,Online,103.08,NA,North,Foot wear
11342,2/1/2021 13:10,49,5,6,95.33,Not Returned,In-Store,571.98,26-35,West,Clothing
11343,5/1/2021 15:06,66,42,5,50.34,Not Returned,Online,251.7,46-55,South,Foot wear
11345,7/1/2021 20:47,35,20,3,63.7,Not Returned,In-Store,191.1,36-45,East,Clothing
11346,6/1/2021 15:28,1,40,7,38.56,Not Returned,In-Store,269.92,46-55,West,Accessories
11347,4/1/2021 4:39,53,15,6,45.64,Not Returned,Online,273.84,46-55,East,Foot wear
11348,1/1/2021 12:02,72,46,7,26.76,Not Returned,Online,187.32,56+,South,Clothing
11349,8/1/2021 9:02,93,6,7,48.22,Not Returned,Online,337.54,36-45,North,Accessories
11350,1/1/2021 14:56,44,50,6,66.75,Not Returned,Online,400.5,26-35,East,Accessories
11351,4/1/2021 2:59,29,45,1,79.18,Not Returned,Online,79.18,46-55,East,Foot wear
11352,11/1/2021 7:37,22,43,5,87.02,Not Returned,Online,435.1,56+,North,Clothing
11353,8/1/2021 10:02,18,28,5,43.34,Not Returned,In-Store,216.7,56+,East,Foot wear
1135,3/1/2021 21:42,44,33,5,26.95,Not Returned,Online,134.75,26-35,East,Accessories
11354,7/1/2021 15:36,39,28,2,91.48,Not Returned,Online,182.96,18-25,West,Foot wear
11355,8/1/2021 5:59,6,36,4,70.69,Returned,Online,282.76,26-35,South,Clothing
11356,3/1/2021 7:02,63,3,2,31.14,Not Returned,In-Store,62.28,56+,East,Foot wear
11358,11/1/2021 1:07,56,21,4,57.19,Not Returned,Online,228.76,18-25,East,Clothing
11359,2/1/2021 21:40,15,7,4,90.54,Not Returned,Online,362.16,46-55,West,Foot wear
11360,6/1/2021 14:53,47,24,4,40.26,Not Returned,Online,161.04,26-35,East,Accessories
